nama,masuk,keluar,duration,coba
deleteAllJsons,22:49:13,22:49:13,0.194,1
deleteAllJsons,23:2:8,23:2:8,0.131,2
deleteAllJsons,23:2:27,23:2:27,0.072,4
deleteAllJsons,23:2:19,23:2:19,0.081,3
deleteAllJsons,23:2:54,23:2:54,0.069,6
deleteAllJsons,23:2:38,23:2:38,0.072,5
deleteAllJsons,23:3:8,23:3:8,0.076,8
deleteAllJsons,23:3:16,23:3:16,0.078,9
deleteAllJsons,23:3:32,23:3:32,0.089,11
deleteAllJsons,23:3:39,23:3:39,0.093,12
deleteAllJsons,23:3:24,23:3:24,0.072,10
deleteAllJsons,23:5:3,23:5:3,0.074,14
deleteAllJsons,23:5:15,23:5:15,0.072,15
deleteAllJsons,23:5:23,23:5:23,0.091,16
deleteAllJsons,23:4:56,23:4:56,0.073,13
deleteAllJsons,23:5:42,23:5:42,0.071,17
deleteAllJsons,23:3:1,23:3:1,0.082,7
deleteAllJsons,23:5:49,23:5:49,0.118,18
deleteAllJsons,23:6:9,23:6:9,0.078,19
deleteAllJsons,23:6:23,23:6:23,0.090,21
deleteAllJsons,23:6:30,23:6:30,0.071,22
deleteAllJsons,23:6:17,23:6:17,0.073,20
deleteAllJsons,23:6:53,23:6:53,0.114,24
deleteAllJsons,23:6:37,23:6:37,0.070,23
deleteAllJsons,23:7:1,23:7:1,0.068,25
deleteAllJsons,23:7:26,23:7:26,0.070,27
deleteAllJsons,23:7:8,23:7:8,0.067,26
deleteAllJsons,23:7:34,23:7:34,0.091,28
deleteAllJsons,23:8:5,23:8:5,0.065,30
deleteAllPostgresqls,22:59:50,22:59:50,3.162,1
deleteAllJsons,23:7:41,23:7:41,0.068,29
deleteAllPostgresqls,23:2:10,23:2:10,42.144,2
deleteAllPostgresqls,23:2:20,23:2:20,41.005,3
deleteAllPostgresqls,23:2:30,23:2:30,2.373,4
deleteAllPostgresqls,23:2:55,23:2:55,39.161,6
deleteAllPostgresqls,23:3:10,23:3:10,2.927,8
deleteAllPostgresqls,23:2:39,23:2:39,2.549,5
deleteAllPostgresqls,23:3:3,23:3:3,3.901,7
deleteAllPostgresqls,23:3:18,23:3:18,2.815,9
deleteAllPostgresqls,23:3:25,23:3:25,2.776,10
deleteAllPostgresqls,23:4:58,23:4:58,39.177,13
deleteAllPostgresqls,23:3:33,23:3:33,2.502,11
deleteAllPostgresqls,23:5:5,23:5:5,2.529,14
deleteAllPostgresqls,23:5:17,23:5:17,41.833,15
deleteAllPostgresqls,23:5:24,23:5:24,2.768,16
deleteAllPostgresqls,23:3:40,23:3:40,2.874,12
deleteAllPostgresqls,23:6:10,23:6:10,39.854,19
deleteAllPostgresqls,23:5:51,23:5:51,2.531,18
deleteAllPostgresqls,23:6:18,23:6:18,2.409,20
deleteAllPostgresqls,23:5:43,23:5:43,40.76,17
deleteAllPostgresqls,23:6:38,23:6:38,2.532,23
deleteAllPostgresqls,23:6:25,23:6:25,2.799,21
deleteAllPostgresqls,23:6:55,23:6:55,40.078,24
deleteAllPostgresqls,23:7:3,23:7:3,4.32,25
deleteAllPostgresqls,23:6:31,23:6:31,2.23,22
deleteAllPostgresqls,23:7:10,23:7:10,2.29,26
deleteAllPostgresqls,23:7:28,23:7:28,40.436,27
deleteAllPostgresqls,23:7:42,23:7:42,2.451,29
deleteAllPostgresqls,23:7:35,23:7:35,2.382,28
deleteByIdJsons,22:47:30,22:47:30,23.746,1
deleteByIdJsons,22:47:35,22:47:35,22.004,3
deleteAllPostgresqls,23:8:7,23:8:7,40.435,30
deleteByIdJsons,22:47:33,22:47:33,20.704,2
deleteByIdJsons,22:47:41,22:47:41,19.794,6
deleteByIdJsons,22:47:43,22:47:43,19.868,7
deleteByIdJsons,22:47:39,22:47:39,19.628,5
deleteByIdJsons,22:47:46,22:47:46,19.102,8
deleteByIdJsons,22:47:49,22:47:49,19.179,9
deleteByIdJsons,22:47:37,22:47:37,20.207,4
deleteByIdJsons,22:47:52,22:47:52,19.972,10
deleteByIdJsons,22:47:55,22:47:55,19.316,11
deleteByIdJsons,22:48:2,22:48:2,19.346,12
deleteByIdJsons,22:48:9,22:48:9,24.334,14
deleteByIdJsons,22:48:12,22:48:12,19.332,15
deleteByIdJsons,22:48:15,22:48:15,19.211,16
deleteByIdJsons,22:48:5,22:48:5,27.269,13
deleteByIdJsons,22:48:18,22:48:18,22.865,17
deleteByIdJsons,22:48:38,22:48:38,19.213,20
deleteByIdJsons,22:48:21,22:48:21,19.080,18
deleteByIdJsons,22:48:40,22:48:40,19.781,21
deleteByIdJsons,22:48:31,22:48:31,19.634,19
deleteByIdJsons,22:48:46,22:48:46,19.997,23
deleteByIdJsons,22:48:59,22:48:59,21.739,25
deleteByIdJsons,22:48:56,22:48:56,19.443,24
deleteByIdJsons,22:49:1,22:49:1,19.436,26
deleteByIdJsons,22:49:4,22:49:4,18.503,27
deleteByIdJsons,22:48:43,22:48:43,21.952,22
deleteByIdJsons,22:49:9,22:49:9,21.501,29
deleteByIdJsons,22:49:12,22:49:12,19.705,30
deleteByIdPostgresqls,22:58:12,22:58:12,1.387,1
deleteByIdPostgresqls,22:58:16,22:58:16,0.885,3
deleteByIdJsons,22:49:6,22:49:6,18.922,28
deleteByIdPostgresqls,22:58:14,22:58:14,1.229,2
deleteByIdPostgresqls,22:58:22,22:58:22,0.763,6
deleteByIdPostgresqls,22:58:25,22:58:25,0.67,7
deleteByIdPostgresqls,22:58:18,22:58:18,0.654,4
deleteByIdPostgresqls,22:58:31,22:58:31,0.755,9
deleteByIdPostgresqls,22:58:20,22:58:20,0.687,5
deleteByIdPostgresqls,22:58:34,22:58:34,0.595,10
deleteByIdPostgresqls,22:58:39,22:58:39,0.643,12
deleteByIdPostgresqls,22:58:28,22:58:28,0.811,8
deleteByIdPostgresqls,22:58:37,22:58:37,0.714,11
deleteByIdPostgresqls,22:58:43,22:58:43,0.773,13
deleteByIdPostgresqls,22:58:58,22:58:58,0.819,15
deleteByIdPostgresqls,22:58:48,22:58:48,0.831,14
deleteByIdPostgresqls,22:59:6,22:59:6,0.783,18
deleteByIdPostgresqls,22:59:4,22:59:4,0.84,17
deleteByIdPostgresqls,22:59:1,22:59:1,0.733,16
deleteByIdPostgresqls,22:59:12,22:59:12,0.725,20
deleteByIdPostgresqls,22:59:9,22:59:9,0.721,19
deleteByIdPostgresqls,22:59:18,22:59:18,0.799,22
deleteByIdPostgresqls,22:59:14,22:59:14,0.635,21
deleteByIdPostgresqls,22:59:25,22:59:25,0.726,24
deleteByIdPostgresqls,22:59:20,22:59:20,0.691,23
deleteByIdPostgresqls,22:59:27,22:59:27,0.635,25
deleteByIdPostgresqls,22:59:29,22:59:29,0.773,26
deleteByIdPostgresqls,22:59:39,22:59:39,0.658,29
deleteByIdPostgresqls,22:59:33,22:59:33,0.74,27
deleteByIdPostgresqls,22:59:37,22:59:37,0.703,28
getAllJsons,22:40:12,22:40:12,35.823,2
getAllJsons,22:38:58,22:38:58,51.427,1
deleteByIdPostgresqls,22:59:49,22:59:49,0.641,30
getAllJsons,22:60:36,22:60:36,22.279,5
getAllJsons,22:41:25,22:41:25,17.059,3
getAllJsons,22:60:34,22:60:34,21.928,4
getAllJsons,22:60:38,22:60:38,18.179,6
getAllJsons,22:60:40,22:60:40,17.661,8
getAllJsons,22:60:41,22:60:41,17.732,9
getAllJsons,22:60:42,22:60:42,17.638,10
getAllJsons,22:60:44,22:60:44,17.340,11
getAllJsons,22:60:45,22:60:45,16.826,12
getAllJsons,22:60:46,22:60:46,20.297,13
getAllJsons,22:60:47,22:60:47,16.866,14
getAllJsons,22:60:48,22:60:48,19.998,15
getAllJsons,22:60:49,22:60:49,17.632,16
getAllJsons,22:60:50,22:60:50,16.349,17
getAllJsons,22:60:39,22:60:39,19.296,7
getAllJsons,22:60:53,22:60:53,20.718,19
getAllJsons,22:60:55,22:60:55,19.872,21
getAllJsons,22:60:54,22:60:54,17.467,20
getAllJsons,22:60:51,22:60:51,17.541,18
getAllJsons,22:60:56,22:60:56,16.753,22
getAllJsons,22:60:59,22:60:59,17.359,24
getAllJsons,23:1:0,23:1:0,20.135,25
getAllJsons,22:60:57,22:60:57,16.532,23
getAllJsons,23:1:1,23:1:1,16.873,26
getAllJsons,23:1:2,23:1:2,18.161,27
getAllJsons,23:1:3,23:1:3,16.190,28
getAllJsons,23:1:4,23:1:4,17.197,29
getAllJsons,23:1:5,23:1:5,17.340,30
getAllPostgresqls,22:49:27,22:49:27,48.284,1
getAllPostgresqls,22:50:44,22:50:44,151.498,3
getAllPostgresqls,22:50:59,22:50:59,5.823,4
getAllPostgresqls,22:49:59,22:50:0,45.739,2
getAllPostgresqls,23:1:22,23:1:22,44.555,6
getAllPostgresqls,22:52:14,22:52:14,4.814,5
getAllPostgresqls,23:1:26,23:1:26,6.765,9
getAllPostgresqls,23:1:24,23:1:24,5.824,7
getAllPostgresqls,23:1:28,23:1:28,5.935,11
getAllPostgresqls,23:1:27,23:1:27,7.133,10
getAllPostgresqls,23:1:25,23:1:25,8.234,8
getAllPostgresqls,23:1:31,23:1:31,6.373,13
getAllPostgresqls,23:1:30,23:1:30,5.493,12
getAllPostgresqls,23:1:32,23:1:32,6.013,14
getAllPostgresqls,23:1:34,23:1:34,5.192,16
getAllPostgresqls,23:1:36,23:1:36,5.35,17
getAllPostgresqls,23:1:33,23:1:33,6.586,15
getAllPostgresqls,23:1:39,23:1:39,5.195,20
getAllPostgresqls,23:1:38,23:1:38,4.682,19
getAllPostgresqls,23:1:37,23:1:37,5.658,18
getAllPostgresqls,23:1:40,23:1:40,4.905,21
getAllPostgresqls,23:1:41,23:1:41,5.218,22
getAllPostgresqls,23:1:43,23:1:43,5.02,23
getAllPostgresqls,23:1:44,23:1:44,5.132,24
getAllPostgresqls,23:1:45,23:1:45,5.139,25
getAllPostgresqls,23:1:46,23:1:46,4.98,26
getAllPostgresqls,23:1:47,23:1:47,4.866,27
getAllPostgresqls,23:1:51,23:1:51,5.113,30
getAllPostgresqls,23:1:50,23:1:50,4.947,29
getAllPostgresqls,23:1:49,23:1:49,4.558,28
getByEmailJsons,22:40:16,22:40:16,22.107,2
getByEmailJsons,22:40:15,22:40:15,19.626,1
getByEmailJsons,22:40:19,22:40:19,17.831,4
getByEmailJsons,22:40:18,22:40:18,19.048,3
getByEmailJsons,22:40:21,22:40:21,21.930,5
getByEmailJsons,22:40:22,22:40:22,18.259,6
getByEmailJsons,22:40:24,22:40:24,16.674,7
getByEmailJsons,22:40:25,22:40:25,17.189,8
getByEmailJsons,22:40:28,22:40:28,18.645,10
getByEmailJsons,22:40:29,22:40:29,17.952,11
getByEmailJsons,22:40:27,22:40:27,19.394,9
getByEmailJsons,22:40:32,22:40:32,17.435,13
getByEmailJsons,22:40:35,22:40:35,23.656,15
getByEmailJsons,22:40:33,22:40:33,16.465,14
getByEmailJsons,22:40:31,22:40:31,16.540,12
getByEmailJsons,22:40:38,22:40:38,19.343,17
getByEmailJsons,22:40:36,22:40:36,16.320,16
getByEmailJsons,22:40:39,22:40:39,16.577,18
getByEmailJsons,22:40:41,22:40:41,17.163,19
getByEmailJsons,22:40:42,22:40:42,18.688,20
getByEmailJsons,22:40:43,22:40:43,16.253,21
getByEmailJsons,22:40:46,22:40:46,18.034,23
getByEmailJsons,22:40:48,22:40:48,18.048,24
getByEmailJsons,22:40:45,22:40:45,18.674,22
getByEmailJsons,22:40:50,22:40:50,19.544,26
getByEmailJsons,22:40:49,22:40:49,16.530,25
getByEmailJsons,22:40:52,22:40:52,16.972,27
getByEmailJsons,22:40:56,22:40:56,18.056,30
getByEmailPostgresqls,22:50:58,22:50:58,5.019,1
getByEmailJsons,22:40:55,22:40:55,16.717,29
getByEmailPostgresqls,22:51:1,22:51:1,4.156,2
getByEmailPostgresqls,22:51:4,22:51:4,3.963,4
getByEmailJsons,22:40:53,22:40:53,18.264,28
getByEmailPostgresqls,22:51:3,22:51:3,5.999,3
getByEmailPostgresqls,22:51:7,22:51:7,3.825,6
getByEmailPostgresqls,22:51:8,22:51:8,4.532,7
getByEmailPostgresqls,22:51:5,22:51:5,4.918,5
getByEmailPostgresqls,22:51:11,22:51:11,5.194,9
getByEmailPostgresqls,22:51:12,22:51:12,3.587,10
getByEmailPostgresqls,22:51:15,22:51:15,3.597,12
getByEmailPostgresqls,22:51:9,22:51:9,4.292,8
getByEmailPostgresqls,22:51:13,22:51:13,4.605,11
getByEmailPostgresqls,22:51:16,22:51:16,4.604,13
getByEmailPostgresqls,22:51:18,22:51:18,3.961,14
getByEmailPostgresqls,22:51:19,22:51:19,4.309,15
getByEmailPostgresqls,22:51:22,22:51:22,4.788,17
getByEmailPostgresqls,22:51:24,22:51:24,5.251,19
getByEmailPostgresqls,22:51:26,22:51:26,4.869,20
getByEmailPostgresqls,22:51:23,22:51:23,4.759,18
getByEmailPostgresqls,22:51:28,22:51:28,4.634,22
getByEmailPostgresqls,22:51:27,22:51:27,4.714,21
getByEmailPostgresqls,22:51:30,22:51:30,5.917,23
getByEmailPostgresqls,22:51:20,22:51:20,3.768,16
getByEmailPostgresqls,22:51:34,22:51:34,3.548,26
getByEmailPostgresqls,22:51:31,22:51:31,4.9,24
getByEmailPostgresqls,22:51:33,22:51:33,4.736,25
getByEmailPostgresqls,22:51:35,22:51:35,4.747,27
getByEmailPostgresqls,22:51:37,22:51:37,3.481,28
getByEmailPostgresqls,22:51:39,22:51:39,4.888,29
getByEmailPostgresqls,22:51:40,22:51:40,3.541,30
getByGenderJsons,22:41:27,22:41:27,19.304,1
getByGenderJsons,22:41:29,22:41:29,18.801,2
getByGenderJsons,22:41:30,22:41:30,18.067,3
getByGenderJsons,22:41:32,22:41:32,18.368,4
getByGenderJsons,22:41:34,22:41:34,19.280,5
getByGenderJsons,22:41:36,22:41:36,17.488,6
getByGenderJsons,22:41:37,22:41:37,18.338,7
getByGenderJsons,22:41:39,22:41:39,18.018,8
getByGenderJsons,22:41:40,22:41:40,33.783,9
getByGenderJsons,22:41:42,22:41:42,35.506,10
getByGenderJsons,22:41:43,22:41:43,35.425,11
getByGenderJsons,22:41:44,22:41:44,17.839,12
getByGenderJsons,22:41:46,22:41:46,17.412,13
getByGenderJsons,22:41:48,22:41:48,16.891,14
getByGenderJsons,22:41:49,22:41:49,18.821,15
getByGenderJsons,22:41:50,22:41:50,18.057,16
getByGenderJsons,22:41:52,22:41:52,19.080,17
getByGenderJsons,22:41:53,22:41:53,15.648,18
getByGenderJsons,22:41:54,22:41:54,16.096,19
getByGenderJsons,22:41:59,22:41:59,22.504,22
getByGenderJsons,22:41:56,22:41:56,16.806,20
getByGenderJsons,22:42:0,22:42:0,16.508,23
getByGenderJsons,22:41:57,22:41:57,17.472,21
getByGenderJsons,22:42:1,22:42:1,16.943,24
getByGenderJsons,22:42:3,22:42:3,17.475,25
getByGenderJsons,22:42:4,22:42:4,17.297,26
getByGenderJsons,22:42:6,22:42:6,18.741,27
getByGenderJsons,22:42:7,22:42:7,16.953,28
getByGenderJsons,22:42:8,22:42:9,16.102,29
getByGenderJsons,22:42:10,22:42:10,18.878,30
getByGenderPostgresqls,22:51:42,22:51:42,2.494,1
getByGenderPostgresqls,22:51:44,22:51:44,3.207,2
getByGenderPostgresqls,22:51:45,22:51:45,2.368,3
getByGenderPostgresqls,22:51:47,22:51:47,2.585,4
getByGenderPostgresqls,22:51:48,22:51:48,2.391,5
getByGenderPostgresqls,22:51:49,22:51:49,4.489,6
getByGenderPostgresqls,22:51:52,22:51:52,2.448,8
getByGenderPostgresqls,22:51:53,22:51:53,2.295,9
getByGenderPostgresqls,22:51:55,22:51:55,2.492,10
getByGenderPostgresqls,22:51:51,22:51:51,2.262,7
getByGenderPostgresqls,22:51:56,22:51:56,2.262,11
getByGenderPostgresqls,22:51:59,22:51:59,3.079,13
getByGenderPostgresqls,22:51:57,22:51:57,2.947,12
getByGenderPostgresqls,22:52:1,22:52:1,2.366,15
getByGenderPostgresqls,22:52:4,22:52:4,2.336,17
getByGenderPostgresqls,22:52:0,22:52:0,2.246,14
getByGenderPostgresqls,22:52:7,22:52:7,2.351,19
getByGenderPostgresqls,22:52:3,22:52:3,2.202,16
getByGenderPostgresqls,22:52:9,22:52:9,3.333,21
getByGenderPostgresqls,22:52:8,22:52:8,2.59,20
getByGenderPostgresqls,22:52:11,22:52:11,2.208,22
